"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330063002","Block Group 2, Census Tract 63, King County, Washington","662","98","null","null","0","12","null","null","36","40","null","null","0","12","null","null","36","41","null","null","32","35","null","null","0","12","null","null","37","41","null","null","19","null","30","null","19","null","31","null","38","44","null","null","31","null","36","null","66","null","50","null","59","null","42","null","37","null","41","null","32","37","null","null","220","null","73","null",
"1500000US530330063003","Block Group 3, Census Tract 63, King County, Washington","615","110","null","null","0","12","null","null","0","12","null","null","19","29","null","null","19","30","null","null","65","55","null","null","31","34","null","null","0","12","null","null","18","null","28","null","14","null","24","null","37","43","null","null","0","null","12","null","65","null","54","null","14","null","23","null","54","null","53","null","75","88","null","null","204","null","108","null",
"1500000US530330063004","Block Group 4, Census Tract 63, King County, Washington","568","112","null","null","32","38","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","28","34","null","null","0","null","12","null","58","null","93","null","13","22","null","null","0","null","12","null","0","null","12","null","34","null","38","null","40","null","42","null","15","23","null","null","348","null","94","null",
"1500000US530330064001","Block Group 1, Census Tract 64, King County, Washington","472","64","null","null","11","18","null","null","12","17","null","null","0","12","null","null","0","12","null","null","9","16","null","null","0","12","null","null","33","23","null","null","30","null","27","null","0","null","12","null","10","16","null","null","8","null","12","null","49","null","35","null","14","null","21","null","60","null","36","null","76","60","null","null","160","null","52","null",
"1500000US530330064002","Block Group 2, Census Tract 64, King County, Washington","386","50","null","null","7","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","9","14","null","null","0","null","12","null","17","null","15","null","10","14","null","null","21","null","24","null","30","null","27","null","31","null","27","null","26","null","20","null","59","49","null","null","176","null","52","null",
"1500000US530330064003","Block Group 3, Census Tract 64, King County, Washington","511","60","null","null","43","53","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","11","16","null","null","0","12","null","null","10","null","15","null","0","null","12","null","23","24","null","null","63","null","51","null","48","null","32","null","11","null","18","null","62","null","33","null","24","21","null","null","216","null","61","null",
"1500000US530330065001","Block Group 1, Census Tract 65, King County, Washington","627","92","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","16","null","25","null","16","null","25","null","0","12","null","null","96","null","79","null","45","null","40","null","30","null","35","null","37","null","41","null","67","54","null","null","320","null","113","null",
"1500000US530330065002","Block Group 2, Census Tract 65, King County, Washington","1140","126","null","null","16","26","null","null","0","12","null","null","85","59","null","null","16","26","null","null","19","29","null","null","33","36","null","null","14","22","null","null","0","null","12","null","18","null","27","null","124","67","null","null","99","null","90","null","238","null","128","null","110","null","73","null","83","null","64","null","122","59","null","null","163","null","84","null",
"1500000US530330065003","Block Group 3, Census Tract 65, King County, Washington","793","108","null","null","0","12","null","null","16","26","null","null","20","31","null","null","27","31","null","null","28","33","null","null","14","23","null","null","15","25","null","null","32","null","25","null","60","null","50","null","52","41","null","null","71","null","57","null","93","null","86","null","101","null","68","null","31","null","35","null","88","55","null","null","145","null","66","null",
"1500000US530330066001","Block Group 1, Census Tract 66, King County, Washington","1082","157","null","null","17","27","null","null","0","12","null","null","18","29","null","null","0","12","null","null","29","33","null","null","29","31","null","null","0","12","null","null","32","null","37","null","42","null","41","null","91","69","null","null","131","null","74","null","87","null","57","null","142","null","85","null","55","null","46","null","207","105","null","null","202","null","102","null",
