"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330301002","Block Group 2, Census Tract 301, King County, Washington","391","83","null","null","12","null","19","null","0","null","12","null","0","12","null","null","0","12","null","null","17","21","null","null","0","null","12","null","32","null","38","null","0","12","null","null","0","12","null","null","14","null","23","null","18","null","22","null","67","null","69","null","48","42","null","null","54","49","null","null","23","null","25","null","106","null","77","null",
"1500000US530330301003","Block Group 3, Census Tract 301, King County, Washington","800","137","null","null","8","null","13","null","0","null","12","null","0","12","null","null","0","12","null","null","29","34","null","null","42","null","42","null","153","null","113","null","35","53","null","null","44","53","null","null","36","null","43","null","25","null","39","null","84","null","85","null","75","65","null","null","125","86","null","null","71","null","74","null","73","null","66","null",
"1500000US530330301004","Block Group 4, Census Tract 301, King County, Washington","341","99","null","null","17","null","27","null","0","null","12","null","18","28","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","23","26","null","null","11","18","null","null","38","null","58","null","0","null","12","null","99","null","58","null","54","51","null","null","16","20","null","null","0","null","12","null","65","null","64","null",
"1500000US530330301005","Block Group 5, Census Tract 301, King County, Washington","409","133","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","100","92","null","null","0","null","12","null","41","null","45","null","178","139","null","null","0","12","null","null","70","null","105","null","12","null","18","null","8","null","16","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null",
"1500000US530330301006","Block Group 6, Census Tract 301, King County, Washington","360","88","null","null","8","null","14","null","17","null","26","null","0","12","null","null","9","13","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","17","null","28","null","23","null","35","null","83","null","65","null","48","50","null","null","26","29","null","null","51","null","51","null","78","null","60","null",
"1500000US530330301007","Block Group 7, Census Tract 301, King County, Washington","349","121","null","null","17","null","27","null","0","null","12","null","61","86","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","11","18","null","null","0","12","null","null","22","null","25","null","44","null","42","null","47","null","66","null","13","22","null","null","46","46","null","null","39","null","47","null","49","null","49","null",
"1500000US530330302011","Block Group 1, Census Tract 302.01, King County, Washington","346","76","null","null","0","null","12","null","16","null","18","null","17","29","null","null","15","19","null","null","28","46","null","null","20","null","23","null","19","null","22","null","0","12","null","null","0","12","null","null","38","null","35","null","26","null","30","null","54","null","42","null","69","40","null","null","9","14","null","null","12","null","18","null","23","null","27","null",
"1500000US530330302012","Block Group 2, Census Tract 302.01, King County, Washington","503","127","null","null","10","null","20","null","0","null","12","null","0","12","null","null","36","47","null","null","22","26","null","null","139","null","96","null","58","null","36","null","9","14","null","null","11","16","null","null","62","null","55","null","9","null","14","null","37","null","38","null","45","32","null","null","1","6","null","null","0","null","12","null","64","null","78","null",
"1500000US530330302013","Block Group 3, Census Tract 302.01, King County, Washington","529","104","null","null","0","null","12","null","27","null","32","null","6","10","null","null","37","46","null","null","20","23","null","null","15","null","17","null","6","null","12","null","22","28","null","null","37","45","null","null","55","null","47","null","98","null","86","null","137","null","86","null","40","33","null","null","20","25","null","null","0","null","12","null","9","null","15","null",
"1500000US530330302014","Block Group 4, Census Tract 302.01, King County, Washington","661","99","null","null","9","null","13","null","16","null","18","null","0","12","null","null","49","39","null","null","10","14","null","null","100","null","58","null","0","null","12","null","0","12","null","null","78","68","null","null","18","null","22","null","44","null","36","null","56","null","42","null","163","78","null","null","60","50","null","null","37","null","36","null","21","null","21","null",
