"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330203002","Block Group 2, Census Tract 203, King County, Washington","390","97","null","null","0","12","null","null","67","null","77","null","14","21","null","null","13","null","20","null","0","null","12","null","0","12","null","null","15","23","null","null","14","21","null","null","14","null","23","null","12","null","18","null","39","43","null","null","69","46","null","null","56","43","null","null","66","null","46","null","0","null","12","null","11","null","18","null",
"1500000US530330203003","Block Group 3, Census Tract 203, King County, Washington","355","82","null","null","15","23","null","null","0","null","12","null","14","22","null","null","0","null","12","null","0","null","12","null","48","58","null","null","13","22","null","null","14","23","null","null","11","null","19","null","54","null","49","null","29","35","null","null","57","45","null","null","40","41","null","null","12","null","20","null","48","null","49","null","0","null","12","null",
"1500000US530330203004","Block Group 4, Census Tract 203, King County, Washington","490","103","null","null","18","29","null","null","0","null","12","null","0","12","null","null","0","null","12","null","17","null","26","null","15","24","null","null","0","12","null","null","19","21","null","null","0","null","12","null","16","null","27","null","96","53","null","null","91","64","null","null","80","52","null","null","48","null","47","null","90","null","58","null","0","null","12","null",
"1500000US530330203005","Block Group 5, Census Tract 203, King County, Washington","1098","170","null","null","73","55","null","null","55","null","45","null","233","140","null","null","84","null","81","null","78","null","76","null","15","23","null","null","79","55","null","null","39","62","null","null","135","null","82","null","50","null","35","null","78","82","null","null","44","39","null","null","63","62","null","null","21","null","27","null","51","null","81","null","0","null","12","null",
"1500000US530330204011","Block Group 1, Census Tract 204.01, King County, Washington","815","76","null","null","14","21","null","null","39","null","47","null","6","10","null","null","28","null","45","null","11","null","16","null","32","23","null","null","55","42","null","null","31","32","null","null","72","null","47","null","134","null","68","null","152","76","null","null","79","46","null","null","65","37","null","null","42","null","33","null","37","null","35","null","18","null","21","null",
"1500000US530330204012","Block Group 2, Census Tract 204.01, King County, Washington","346","61","null","null","0","12","null","null","12","null","20","null","18","25","null","null","0","null","12","null","0","null","12","null","0","12","null","null","8","13","null","null","0","12","null","null","8","null","13","null","35","null","32","null","45","33","null","null","43","25","null","null","84","41","null","null","24","null","23","null","48","null","45","null","21","null","18","null",
"1500000US530330204013","Block Group 3, Census Tract 204.01, King County, Washington","245","47","null","null","0","12","null","null","18","null","20","null","10","16","null","null","0","null","12","null","0","null","12","null","0","12","null","null","8","12","null","null","7","12","null","null","18","null","21","null","40","null","28","null","26","24","null","null","38","24","null","null","21","26","null","null","25","null","19","null","34","null","27","null","0","null","12","null",
"1500000US530330204021","Block Group 1, Census Tract 204.02, King County, Washington","526","90","null","null","0","12","null","null","0","null","12","null","48","45","null","null","0","null","12","null","0","null","12","null","16","25","null","null","0","12","null","null","77","64","null","null","0","null","12","null","62","null","50","null","57","45","null","null","68","43","null","null","44","34","null","null","112","null","66","null","11","null","18","null","31","null","28","null",
"1500000US530330204022","Block Group 2, Census Tract 204.02, King County, Washington","423","80","null","null","0","12","null","null","18","null","28","null","16","24","null","null","0","null","12","null","49","null","74","null","16","24","null","null","13","21","null","null","0","12","null","null","0","null","12","null","0","null","12","null","34","38","null","null","26","29","null","null","132","66","null","null","23","null","28","null","53","null","38","null","43","null","33","null",
"1500000US530330204023","Block Group 3, Census Tract 204.02, King County, Washington","299","96","null","null","14","22","null","null","0","null","12","null","19","30","null","null","52","null","47","null","0","null","12","null","0","12","null","null","0","12","null","null","13","20","null","null","15","null","26","null","20","null","28","null","19","29","null","null","82","89","null","null","14","23","null","null","23","null","25","null","14","null","23","null","14","null","21","null",
