"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330320073","Block Group 3, Census Tract 320.07, King County, Washington","362","null","65","null","10","null","16","null","0","null","12","null","34","null","30","null","25","null","24","null","10","null","16","null","12","null","18","null","9","null","14","null","48","null","47","null","10","15","null","null","33","24","null","null","44","null","47","null","30","26","null","null","38","null","29","null","19","20","null","null","19","null","17","null","21","null","22","null",
"1500000US530330320081","Block Group 1, Census Tract 320.08, King County, Washington","459","null","74","null","0","null","12","null","0","null","12","null","10","null","15","null","9","null","15","null","0","null","12","null","0","null","12","null","10","null","15","null","10","null","15","null","0","12","null","null","18","21","null","null","83","null","56","null","63","33","null","null","54","null","33","null","58","38","null","null","95","null","44","null","49","null","36","null",
"1500000US530330320082","Block Group 2, Census Tract 320.08, King County, Washington","598","null","99","null","0","null","12","null","19","null","22","null","28","null","43","null","10","null","15","null","10","null","16","null","47","null","50","null","0","null","12","null","97","null","67","null","0","12","null","null","65","47","null","null","48","null","32","null","104","61","null","null","71","null","50","null","52","46","null","null","30","null","28","null","17","null","19","null",
"1500000US530330320083","Block Group 3, Census Tract 320.08, King County, Washington","403","null","93","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","15","null","23","null","0","null","12","null","0","null","12","null","21","null","32","null","0","12","null","null","48","43","null","null","70","null","57","null","68","37","null","null","48","null","35","null","63","35","null","null","70","null","60","null","0","null","12","null",
"1500000US530330320101","Block Group 1, Census Tract 320.10, King County, Washington","554","null","94","null","32","null","36","null","38","null","33","null","60","null","74","null","23","null","28","null","115","null","91","null","0","null","12","null","10","null","17","null","14","null","24","null","0","12","null","null","9","14","null","null","99","null","79","null","67","40","null","null","15","null","22","null","18","22","null","null","12","null","20","null","42","null","45","null",
"1500000US530330320102","Block Group 2, Census Tract 320.10, King County, Washington","436","null","71","null","0","null","12","null","7","null","12","null","0","null","12","null","0","null","12","null","8","null","13","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","13","22","null","null","25","null","23","null","78","50","null","null","127","null","65","null","102","55","null","null","37","null","40","null","39","null","37","null",
"1500000US530330320103","Block Group 3, Census Tract 320.10, King County, Washington","483","null","84","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","73","null","58","null","68","57","null","null","93","null","78","null","51","30","null","null","131","null","66","null","67","null","53","null",
"1500000US530330320104","Block Group 4, Census Tract 320.10, King County, Washington","576","null","104","null","8","null","13","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","10","null","18","null","35","null","46","null","0","null","12","null","0","12","null","null","18","21","null","null","106","null","52","null","134","60","null","null","124","null","75","null","70","54","null","null","56","null","42","null","15","null","24","null",
"1500000US530330320111","Block Group 1, Census Tract 320.11, King County, Washington","773","null","83","null","20","null","19","null","0","null","12","null","0","null","12","null","9","null","16","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","18","21","null","null","27","18","null","null","77","null","54","null","152","64","null","null","164","null","80","null","121","54","null","null","116","null","59","null","69","null","54","null",
"1500000US530330320112","Block Group 2, Census Tract 320.11, King County, Washington","634","null","89","null","16","null","27","null","0","null","12","null","6","null","9","null","6","null","10","null","8","null","12","null","5","null","9","null","4","null","6","null","0","null","12","null","1","7","null","null","78","62","null","null","38","null","28","null","99","53","null","null","166","null","94","null","61","38","null","null","15","null","17","null","131","null","72","null",
"1500000US530330321021","Block Group 1, Census Tract 321.02, King County, Washington","465","null","68","null","20","null","23","null","8","null","14","null","0","null","12","null","20","null","32","null","0","null","12","null","11","null","18","null","0","null","12","null","33","null","30","null","17","19","null","null","7","11","null","null","60","null","39","null","35","30","null","null","59","null","43","null","23","21","null","null","49","null","42","null","123","null","52","null",
"1500000US530330321022","Block Group 2, Census Tract 321.02, King County, Washington","300","null","73","null","21","null","24","null","0","null","12","null","6","null","9","null","8","null","13","null","0","null","12","null","34","null","39","null","10","null","15","null","0","null","12","null","0","12","null","null","19","20","null","null","32","null","25","null","32","43","null","null","30","null","20","null","24","23","null","null","32","null","29","null","52","null","32","null",
"1500000US530330321023","Block Group 3, Census Tract 321.02, King County, Washington","556","null","68","null","8","null","14","null","10","null","15","null","10","null","16","null","0","null","12","null","9","null","14","null","35","null","27","null","0","null","12","null","19","null","21","null","42","32","null","null","68","52","null","null","116","null","69","null","20","22","null","null","92","null","56","null","56","32","null","null","36","null","29","null","35","null","32","null",
