"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330208001","Block Group 1, Census Tract 208, King County, Washington","1224","246","null","null","814","165","null","null","24","39","null","null","0","12","null","null","207","null","163","null","0","12","null","null","0","12","null","null","179","240","null","null","0","12","null","null","179","null","240","null",
"1500000US530330208002","Block Group 2, Census Tract 208, King County, Washington","1113","246","null","null","991","238","null","null","31","41","null","null","25","44","null","null","66","null","98","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null",
"1500000US530330208003","Block Group 3, Census Tract 208, King County, Washington","1044","157","null","null","975","155","null","null","45","59","null","null","0","12","null","null","24","null","28","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null",
"1500000US530330208004","Block Group 4, Census Tract 208, King County, Washington","806","172","null","null","754","155","null","null","4","8","null","null","6","9","null","null","42","null","45","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null",
"1500000US530330209001","Block Group 1, Census Tract 209, King County, Washington","1412","260","null","null","1007","226","null","null","139","107","null","null","25","37","null","null","166","null","128","null","0","12","null","null","22","44","null","null","53","68","null","null","0","12","null","null","53","null","68","null",
"1500000US530330209002","Block Group 2, Census Tract 209, King County, Washington","993","198","null","null","820","240","null","null","14","19","null","null","0","12","null","null","108","null","78","null","15","34","null","null","14","23","null","null","22","25","null","null","0","12","null","null","22","null","25","null",
"1500000US530330209003","Block Group 3, Census Tract 209, King County, Washington","1249","313","null","null","1089","293","null","null","13","21","null","null","0","12","null","null","109","null","88","null","0","12","null","null","25","33","null","null","13","25","null","null","0","12","null","null","13","null","25","null",
"1500000US530330210001","Block Group 1, Census Tract 210, King County, Washington","726","251","null","null","621","215","null","null","33","75","null","null","0","12","null","null","42","null","70","null","0","12","null","null","0","12","null","null","30","40","null","null","0","12","null","null","30","null","40","null",
"1500000US530330210002","Block Group 2, Census Tract 210, King County, Washington","1351","457","null","null","754","313","null","null","0","12","null","null","0","12","null","null","573","null","649","null","0","12","null","null","0","12","null","null","24","47","null","null","0","12","null","null","24","null","47","null",
"1500000US530330210003","Block Group 3, Census Tract 210, King County, Washington","1207","353","null","null","549","225","null","null","303","260","null","null","149","199","null","null","36","null","43","null","0","12","null","null","0","12","null","null","170","183","null","null","0","12","null","null","170","null","183","null",
"1500000US530330210004","Block Group 4, Census Tract 210, King County, Washington","1591","395","null","null","873","361","null","null","477","583","null","null","28","42","null","null","98","null","112","null","0","12","null","null","0","12","null","null","115","138","null","null","0","12","null","null","115","null","138","null",
"1500000US530330210005","Block Group 5, Census Tract 210, King County, Washington","792","456","null","null","388","318","null","null","14","23","null","null","14","22","null","null","224","null","164","null","92","112","null","null","0","12","null","null","60","74","null","null","0","12","null","null","60","null","74","null",
"1500000US530330211001","Block Group 1, Census Tract 211, King County, Washington","1597","376","null","null","939","170","null","null","49","51","null","null","0","12","null","null","138","null","86","null","0","12","null","null","287","325","null","null","184","142","null","null","82","135","null","null","102","null","67","null",
"1500000US530330211002","Block Group 2, Census Tract 211, King County, Washington","1460","367","null","null","964","236","null","null","63","111","null","null","0","12","null","null","229","null","124","null","0","12","null","null","56","92","null","null","148","80","null","null","40","48","null","null","108","null","77","null",
