"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330016002","Block Group 2, Census Tract 16, King County, Washington","1362","null","216","null","1124","207","null","null","7","null","11","null","0","null","12","null","157","101","null","null","0","12","null","null","0","null","12","null","74","null","71","null","0","null","12","null","74","null","71","null",
"1500000US530330016003","Block Group 3, Census Tract 16, King County, Washington","1470","null","293","null","1125","230","null","null","16","null","21","null","14","null","15","null","105","101","null","null","0","12","null","null","5","null","10","null","205","null","195","null","0","null","12","null","205","null","195","null",
"1500000US530330017011","Block Group 1, Census Tract 17.01, King County, Washington","1906","null","297","null","1327","264","null","null","188","null","137","null","14","null","21","null","167","95","null","null","2","4","null","null","9","null","26","null","199","null","113","null","0","null","12","null","199","null","113","null",
"1500000US530330017012","Block Group 2, Census Tract 17.01, King County, Washington","1229","null","277","null","845","186","null","null","95","null","111","null","34","null","47","null","132","87","null","null","21","35","null","null","16","null","26","null","86","null","80","null","10","null","17","null","76","null","77","null",
"1500000US530330017013","Block Group 3, Census Tract 17.01, King County, Washington","889","null","239","null","699","219","null","null","27","null","37","null","0","null","12","null","118","93","null","null","0","12","null","null","11","null","17","null","34","null","35","null","16","null","20","null","18","null","29","null",
"1500000US530330017021","Block Group 1, Census Tract 17.02, King County, Washington","2141","null","391","null","1751","341","null","null","49","null","78","null","0","null","12","null","103","92","null","null","0","12","null","null","68","null","86","null","170","null","111","null","0","null","12","null","170","null","111","null",
"1500000US530330017022","Block Group 2, Census Tract 17.02, King County, Washington","1262","null","292","null","834","268","null","null","13","null","20","null","38","null","54","null","127","105","null","null","0","12","null","null","141","null","108","null","109","null","59","null","0","null","12","null","109","null","59","null",
"1500000US530330017023","Block Group 3, Census Tract 17.02, King County, Washington","1149","null","327","null","955","296","null","null","28","null","39","null","8","null","13","null","63","49","null","null","0","12","null","null","24","null","39","null","71","null","92","null","0","null","12","null","71","null","92","null",
"1500000US530330017024","Block Group 4, Census Tract 17.02, King County, Washington","466","null","156","null","269","136","null","null","26","null","33","null","0","null","12","null","171","108","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null",
"1500000US530330018001","Block Group 1, Census Tract 18, King County, Washington","1675","null","364","null","1322","300","null","null","4","null","6","null","0","null","12","null","245","154","null","null","11","19","null","null","2","null","15","null","91","null","76","null","0","null","12","null","91","null","76","null",
"1500000US530330018002","Block Group 2, Census Tract 18, King County, Washington","1697","null","358","null","1294","331","null","null","0","null","12","null","0","null","12","null","179","108","null","null","17","26","null","null","103","null","67","null","104","null","96","null","0","null","12","null","104","null","96","null",
