"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330021003","Block Group 3, Census Tract 21, King County, Washington","1397","221","null","null","992","183","null","null","0","12","null","null","0","12","null","null","284","null","125","null","0","12","null","null","56","40","null","null","65","null","62","null","0","12","null","null","65","null","62","null",
"1500000US530330022001","Block Group 1, Census Tract 22, King County, Washington","1780","298","null","null","1355","328","null","null","5","12","null","null","1","5","null","null","223","null","85","null","0","12","null","null","0","12","null","null","196","null","120","null","0","12","null","null","196","null","120","null",
"1500000US530330022002","Block Group 2, Census Tract 22, King County, Washington","1418","242","null","null","1186","253","null","null","0","12","null","null","15","24","null","null","135","null","82","null","13","21","null","null","36","58","null","null","33","null","42","null","0","12","null","null","33","null","42","null",
"1500000US530330022003","Block Group 3, Census Tract 22, King County, Washington","1234","242","null","null","914","185","null","null","0","12","null","null","0","12","null","null","244","null","125","null","0","12","null","null","0","12","null","null","76","null","85","null","0","12","null","null","76","null","85","null",
"1500000US530330022004","Block Group 4, Census Tract 22, King County, Washington","1332","230","null","null","1185","247","null","null","0","12","null","null","0","12","null","null","105","null","73","null","0","12","null","null","0","12","null","null","42","null","55","null","0","12","null","null","42","null","55","null",
"1500000US530330024001","Block Group 1, Census Tract 24, King County, Washington","1015","160","null","null","895","162","null","null","0","12","null","null","0","12","null","null","57","null","52","null","0","12","null","null","32","50","null","null","31","null","25","null","0","12","null","null","31","null","25","null",
"1500000US530330024002","Block Group 2, Census Tract 24, King County, Washington","734","133","null","null","492","129","null","null","11","17","null","null","0","12","null","null","172","null","75","null","0","12","null","null","6","9","null","null","53","null","47","null","0","12","null","null","53","null","47","null",
"1500000US530330024003","Block Group 3, Census Tract 24, King County, Washington","1431","173","null","null","1248","157","null","null","0","12","null","null","0","12","null","null","49","null","33","null","8","12","null","null","9","13","null","null","117","null","89","null","0","12","null","null","117","null","89","null",
"1500000US530330025001","Block Group 1, Census Tract 25, King County, Washington","1852","332","null","null","1532","235","null","null","34","34","null","null","9","14","null","null","130","null","86","null","0","12","null","null","0","12","null","null","147","null","114","null","0","12","null","null","147","null","114","null",
"1500000US530330025002","Block Group 2, Census Tract 25, King County, Washington","1464","216","null","null","1270","206","null","null","5","9","null","null","0","12","null","null","78","null","71","null","0","12","null","null","24","37","null","null","87","null","80","null","0","12","null","null","87","null","80","null",
"1500000US530330026001","Block Group 1, Census Tract 26, King County, Washington","1098","251","null","null","821","209","null","null","21","23","null","null","0","12","null","null","107","null","61","null","0","12","null","null","101","133","null","null","48","null","38","null","0","12","null","null","48","null","38","null",
