"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330006005","Block Group 5, Census Tract 6, King County, Washington","928","null","342","null","421","174","null","null","188","229","null","null","0","12","null","null","108","86","null","null","0","null","12","null","211","null","120","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US530330006006","Block Group 6, Census Tract 6, King County, Washington","1465","null","384","null","1143","391","null","null","167","177","null","null","0","12","null","null","26","30","null","null","0","null","12","null","45","null","72","null","84","100","null","null","0","12","null","null","84","100","null","null",
"1500000US530330007001","Block Group 1, Census Tract 7, King County, Washington","2108","null","386","null","1116","253","null","null","320","256","null","null","0","12","null","null","562","315","null","null","74","null","110","null","36","null","42","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US530330007002","Block Group 2, Census Tract 7, King County, Washington","1035","null","292","null","608","203","null","null","182","187","null","null","2","4","null","null","136","95","null","null","0","null","12","null","50","null","58","null","57","46","null","null","0","12","null","null","57","46","null","null",
"1500000US530330007003","Block Group 3, Census Tract 7, King County, Washington","982","null","252","null","829","229","null","null","25","39","null","null","13","20","null","null","74","126","null","null","0","null","12","null","41","null","68","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US530330007004","Block Group 4, Census Tract 7, King County, Washington","526","null","159","null","382","116","null","null","38","43","null","null","0","12","null","null","17","26","null","null","2","null","13","null","24","null","29","null","63","61","null","null","39","60","null","null","24","45","null","null",
"1500000US530330008001","Block Group 1, Census Tract 8, King County, Washington","1139","null","204","null","954","170","null","null","12","16","null","null","18","19","null","null","137","112","null","null","0","null","12","null","0","null","12","null","18","25","null","null","0","12","null","null","18","25","null","null",
"1500000US530330008002","Block Group 2, Census Tract 8, King County, Washington","1335","null","191","null","1168","188","null","null","22","24","null","null","0","12","null","null","38","29","null","null","0","null","12","null","0","null","12","null","107","102","null","null","0","12","null","null","107","102","null","null",
"1500000US530330009001","Block Group 1, Census Tract 9, King County, Washington","1010","null","124","null","754","104","null","null","10","14","null","null","30","35","null","null","163","58","null","null","23","null","26","null","5","null","7","null","25","19","null","null","0","12","null","null","25","19","null","null",
"1500000US530330009002","Block Group 2, Census Tract 9, King County, Washington","813","null","72","null","719","72","null","null","11","17","null","null","7","9","null","null","32","24","null","null","0","null","12","null","15","null","16","null","29","26","null","null","0","12","null","null","29","26","null","null",
"1500000US530330010001","Block Group 1, Census Tract 10, King County, Washington","947","null","221","null","519","113","null","null","321","226","null","null","0","12","null","null","86","75","null","null","0","null","12","null","0","null","12","null","21","16","null","null","7","10","null","null","14","13","null","null",
